File_ID,error_source,error_relpath,overt_past_finite_verbs,bare_past_error_tokens,past_verb_opportunities,past_overgeneralization_errors,past_overgeneralization_errors_per_past_opp
474,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/474.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/474.cha,33,0,33,0,0.0
475,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/475.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/475.cha,11,0,11,0,0.0
476,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/476.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/476.cha,62,0,62,1,0.016129032258064516
477,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/477.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/477.cha,7,0,7,0,0.0
478,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/478.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/478.cha,25,0,25,4,0.16
482,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/482.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/482.cha,13,0,13,0,0.0
523,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/523.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/523.cha,13,0,13,0,0.0
575,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/575.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/575.cha,47,0,47,2,0.0425531914893617
613,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/613.cha,data/annotated/ENNI_batchalign/SLI/A/0noaudio/613.cha,5,0,5,0,0.0
413,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/413.cha,data/annotated/ENNI_batchalign/SLI/A/413.cha,3,0,3,0,0.0
444,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/444.cha,data/annotated/ENNI_batchalign/SLI/A/444.cha,6,0,6,2,0.3333333333333333
479,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/479.cha,data/annotated/ENNI_batchalign/SLI/A/479.cha,20,0,20,3,0.15
529,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/529.cha,data/annotated/ENNI_batchalign/SLI/A/529.cha,29,1,30,0,0.0
568,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/568.cha,data/annotated/ENNI_batchalign/SLI/A/568.cha,6,0,6,1,0.16666666666666666
570,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/570.cha,data/annotated/ENNI_batchalign/SLI/A/570.cha,20,0,20,5,0.25
572,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/572.cha,data/annotated/ENNI_batchalign/SLI/A/572.cha,57,0,57,5,0.08771929824561403
574,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/574.cha,data/annotated/ENNI_batchalign/SLI/A/574.cha,35,0,35,0,0.0
607,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/607.cha,data/annotated/ENNI_batchalign/SLI/A/607.cha,24,0,24,3,0.125
609,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/609.cha,data/annotated/ENNI_batchalign/SLI/A/609.cha,20,0,20,1,0.05
617,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/617.cha,data/annotated/ENNI_batchalign/SLI/A/617.cha,55,0,55,2,0.03636363636363636
625,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/625.cha,data/annotated/ENNI_batchalign/SLI/A/625.cha,17,1,18,4,0.2222222222222222
678,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/678.cha,data/annotated/ENNI_batchalign/SLI/A/678.cha,17,0,17,0,0.0
717,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/717.cha,data/annotated/ENNI_batchalign/SLI/A/717.cha,46,0,46,0,0.0
721,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/721.cha,data/annotated/ENNI_batchalign/SLI/A/721.cha,58,0,58,0,0.0
725,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/725.cha,data/annotated/ENNI_batchalign/SLI/A/725.cha,35,1,36,0,0.0
729,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/729.cha,data/annotated/ENNI_batchalign/SLI/A/729.cha,52,1,53,2,0.03773584905660377
733,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/733.cha,data/annotated/ENNI_batchalign/SLI/A/733.cha,28,1,29,1,0.034482758620689655
777,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/777.cha,data/annotated/ENNI_batchalign/SLI/A/777.cha,38,1,39,1,0.02564102564102564
817,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/817.cha,data/annotated/ENNI_batchalign/SLI/A/817.cha,25,0,25,3,0.12
821,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/821.cha,data/annotated/ENNI_batchalign/SLI/A/821.cha,36,0,36,1,0.027777777777777776
825,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/825.cha,data/annotated/ENNI_batchalign/SLI/A/825.cha,6,0,6,2,0.3333333333333333
829,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/829.cha,data/annotated/ENNI_batchalign/SLI/A/829.cha,14,1,15,5,0.3333333333333333
871,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/871.cha,data/annotated/ENNI_batchalign/SLI/A/871.cha,61,0,61,3,0.04918032786885246
878,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/878.cha,data/annotated/ENNI_batchalign/SLI/A/878.cha,45,0,45,2,0.044444444444444446
880,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/880.cha,data/annotated/ENNI_batchalign/SLI/A/880.cha,80,0,80,2,0.025
922,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/922.cha,data/annotated/ENNI_batchalign/SLI/A/922.cha,112,0,112,1,0.008928571428571428
926,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/926.cha,data/annotated/ENNI_batchalign/SLI/A/926.cha,75,3,78,2,0.02564102564102564
