Sentence	MOR_Tier
it is a field .	pron|it-Prs-Nom-S3 aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|field .
keep it (.) &-er there .	verb|keep-Fin-Imp-S pron|it-Prs-Acc-S3 adv|there .
I'm getting them up .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 verb|get-Part-Pres-S pron|they-Prs-Acc-P3 adp|up .
keeping it round [?] here .	verb|keep-Part-Pres-S pron|it-Prs-Acc-S3 adv|round adv|here .
they won't fit in there !	pron|they-Prs-Nom-P3 aux|will-Fin-S~part|not verb|fit-Inf-S adp|in adv|there !
yeah make it right bigger right there .	intj|yeah verb|make-Fin-Imp-S pron|it-Prs-Acc-S3 adv|right adj|big-Cmp-S1 adv|right adv|there .
got [?] these [?] down there !	verb|get-Fin-Ind-Past-S1-irr pron|this-Dem-P1 adp|down adv|there !
xxx xxx won't fit in the the curve [?] .	aux|will-Fin-S~part|not verb|fit-Fin-Imp-S adp|in det|the-Def-Art det|the-Def-Art noun|curve .
need a little one now .	verb|need-Fin-Ind-Pres-S det|a-Ind-Art adj|little-S1 noun|one-Acc adv|now .
I'll get a little one .	pron|I-Prs-Nom-S1~aux|will-Fin-S verb|get-Inf-S det|a-Ind-Art adj|little-S1 noun|one-Acc .
have we got a little one ?	aux|have-Fin-Ind-Pres-P1 pron|we-Prs-Nom-P1 verb|get-Part-Past-S-irr det|a-Ind-Art adj|little-S1 noun|one-Acc ?
I'll find a little one .	pron|I-Prs-Nom-S1~aux|will-Fin-S verb|find-Inf-S det|a-Ind-Art adj|little-S1 noun|one-Acc .
you've got a little one .	pron|you-Prs-Nom-S2~aux|have-Fin-Ind-Pres-S2 verb|get-Part-Past-S-irr det|a-Ind-Art adj|little-S1 noun|one-Acc .
that's a gap .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|gap .
no this can (.) a horsie can jump over [?] the wall .	intj|no pron|this-Dem-S1 aux|can-Fin-S det|a-Ind-Art noun|horsie aux|can-Fin-S verb|jump-Inf-S adp|over det|the-Def-Art noun|wall .
it can round [?] there .	pron|it-Prs-Nom-S3 aux|can-Fin-S adv|round adv|there .
and I've got two tigers .	cconj|and pron|I-Prs-Nom-S1~aux|have-Fin-Ind-Pres-S1 verb|get-Part-Past-S-irr num|two noun|tiger-Plur-Acc .
that's a +...	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art +...
and that's a tiger .	cconj|and pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|tiger .
hey I've got lots tigers !	intj|hey pron|I-Prs-Nom-S1~aux|have-Fin-Ind-Pres-S1 verb|get-Part-Past-S-irr noun|lot-Plur noun|tiger-Plur-Acc !
where's the lion ?	adv|where~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art noun|lion ?
that's that's a dog [?] .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|dog .
that's +...	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 +...
some of them are old .	det|some-Def-Ind adp|of pron|they-Prs-Acc-P3 aux|be-Fin-Ind-Pres-P3 adj|old-S1 .
we've got a lot of tigers .	pron|we-Prs-Nom-P1~aux|have-Fin-Ind-Pres-P1 verb|get-Part-Past-S-irr det|a-Ind-Art noun|lot-Acc adp|of noun|tiger-Plur .
these are tigers xxx xxx .	pron|this-Dem-P1 aux|be-Fin-Ind-Pres-P3 noun|tiger-Plur .
but you said [?] that that's a tiger .	cconj|but pron|you-Prs-Nom-S2 verb|say-Fin-Ind-Past-S2-irr sconj|that pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|tiger .
that's the fur .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art noun|fur .
them go on there .	pron|they-Prs-Acc-P3 verb|go-Fin-S adp|on adv|there .
there's a tree there .	pron|there-Int-S1~verb|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|tree adv|there .
that's a big tree .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art adj|big-S1 noun|tree .
there might be another somewhere .	pron|there-Int-S1 aux|might-Fin-S verb|be-Inf-S det|another-Def-Ind adv|somewhere .
needta make (.) I want a big field right right there .	noun|needta verb|make-Fin-Imp-S pron|I-Prs-Nom-S1 verb|want-Fin-Ind-Pres-S1 det|a-Ind-Art adj|big-S1 noun|field-Acc adv|right adv|right adv|there .
that's a door cap [?] .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|door noun|cap .
and kangaroos go round there .	cconj|and noun|kangaroo-Plur verb|go-Fin-Ind-Pres-P3 adv|round adv|there .
kangaroo's done that .	propn|kangaroo~aux|be-Fin-Ind-Pres-S3 verb|do-Part-Past-S-irr pron|that-Dem .
a bit more room with [?] these kangaroos got here [?] .	det|a-Ind-Art noun|bit adj|more-Cmp-S1 noun|room adp|with det|this-Def-Dem-Plur noun|kangaroo-Plur verb|get-Fin-Ind-Past-P3-irr adv|here .
and [?] ah that's a baby one !	cconj|and intj|ah pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|baby noun|one !
a baby is it ?	det|a-Ind-Art noun|baby aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 ?
oh (.) what them all get mixed up .	intj|oh pron|what-Int-S1 pron|they-Prs-Acc-P3 det|all-Def-Tot aux|get-Fin-Ind-Pres-P3 verb|mix-Part-Past-S adp|up .
they're new ones .	pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 adj|new-S1 noun|one-Plur .
what , don't put them next to the other ones .	pron|what-Int-S1 cm|cm aux|do-Fin-Imp-S~part|not verb|put-Fin-Imp-S pron|they-Prs-Acc-P3 adv|next adp|to det|the-Def-Art adj|other-S1 noun|one-Plur .
and where's the old ones ?	cconj|and adv|where~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art adj|old-S1 noun|one-Plur ?
is these some bricks ?	aux|be-Fin-Ind-Pres-S3 pron|this-Dem-P1 det|some-Def-Ind noun|brick-Plur ?
that's a cat .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|cat .
got a cat there and monkeys run up the field .	verb|get-Fin-Ind-Past-S1-irr det|a-Ind-Art noun|cat-Acc adv|there cconj|and noun|monkey-Plur verb|run-Fin-Ind-Pres-P3 adp|up det|the-Def-Art noun|field .
din din is it ready ?	noun|din noun|din aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 adj|ready-S1 ?
I can do this one , all [?] this .	pron|I-Prs-Nom-S1 aux|can-Fin-S verb|do-Inf-S det|this-Def-Dem-Sing num|one cm|cm det|all-Def-Tot pron|this-Dem-S1 .
where's bit [?] ?	adv|where~aux|be-Fin-Ind-Pres-S3 noun|bit ?
where's the next [?] bit ?	adv|where~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art adj|next-S1 noun|bit ?
xxx xxx xxx can't find it .	aux|can-Fin-S~part|not verb|find-Inf-S pron|it-Prs-Acc-S3 .
then you can find that bit .	adv|then pron|you-Prs-Nom-S2 aux|can-Fin-S verb|find-Inf-S det|that-Def-Dem-Sing noun|bit-Acc .
do these first then you can find that bit .	verb|do-Fin-Imp-S pron|this-Dem-P1 adj|first-S1 adv|then pron|you-Prs-Nom-S2 aux|can-Fin-S verb|find-Inf-S det|that-Def-Dem-Sing noun|bit-Acc .
that bit go on there .	det|that-Def-Dem-Sing noun|bit verb|go-Fin-Imp-S adp|on adv|there .
that bit do .	det|that-Def-Dem-Sing noun|bit aux|do-Fin-Ind-Pres-P3 .
that's a bridge .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|bridge .
it can go up on the bridge .	pron|it-Prs-Nom-S3 aux|can-Fin-S verb|go-Inf-S adp|up adp|on det|the-Def-Art noun|bridge .
that's go on there .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 verb|go-Inf-S adp|on adv|there .
that go on there .	pron|that-Dem verb|go-Fin-Ind-Pres-P3 adp|on adv|there .
and tha:t go on there .	cconj|and pron|that-Dem verb|go-Fin-Ind-Pres-P3 adp|on adv|there .
move it along .	verb|move-Fin-Imp-S pron|it-Prs-Acc-S3 adv|along .
