left_column,right_column,overlap_rows,pearson_r,spearman_rho,abs_pearson_r,exact_equal_on_overlap,max_abs_diff,mean_abs_diff
FREQ_tokens,mor_Words,360,1.000000,1.000000,1.000000,1,0.000000,0.000000
DSS,DSS_tbl_TOT,341,0.999980,0.999915,0.999980,0,834.960000,463.530323
DSS,DSS_tbl_score,341,0.999980,0.999915,0.999980,0,0.180000,0.001056
TD_Utts,#utterances,360,0.999959,0.999902,0.999959,0,2.000000,0.055556
Age(Month),Age_Month_approx,359,0.999891,0.999800,0.999891,0,1.000000,0.250046
Total_Utts,#utterances,360,0.999768,0.999654,0.999768,0,6.000000,0.175000
Total_Utts,TD_Utts,360,0.999762,0.999655,0.999762,0,6.000000,0.180556
MLU_Words,words/utterances,360,0.999298,0.999240,0.999298,0,0.343000,0.019122
Total_Utts,MLU_Utts,360,0.999032,0.998763,0.999032,0,15.000000,0.472222
FREQ_tokens,#words,360,0.998488,0.998136,0.998488,0,105.000000,16.591667
mor_Words,#words,360,0.998488,0.998136,0.998488,0,105.000000,16.591667
MLU_Utts,TD_Utts,360,0.998445,0.998142,0.998445,0,16.000000,0.652778
MLU_Utts,#utterances,360,0.998435,0.998077,0.998435,0,16.000000,0.647222
MLU_Words,MLU_Morphemes,360,0.992385,0.992106,0.992385,0,1.272000,0.591308
MLU_Morphemes,words/utterances,360,0.991768,0.991166,0.991768,0,1.361000,0.602364
TD_Words,#words,360,0.991698,0.988904,0.991698,0,251.000000,46.819444
MLU50_Words,MLU50_Morphemes,360,0.990867,0.990939,0.990867,0,1.460000,0.612944
FREQ_tokens,TD_Words,360,0.990212,0.987968,0.990212,0,247.000000,32.744444
TD_Words,mor_Words,360,0.990212,0.987968,0.990212,0,247.000000,32.744444
DSS_tbl_score,DSS_tbl_TOT,360,0.973711,0.996837,0.973711,0,834.960000,452.544028
MLU50_Words,words/utterances,360,0.971229,0.969030,0.971229,0,1.562000,0.237478
MLU_Words,MLU50_Words,360,0.970953,0.969122,0.970953,0,1.562000,0.235856
MLU_Morphemes,MLU50_Morphemes,360,0.970895,0.967307,0.970895,0,1.645000,0.258158
MLU50_Morphemes,words/utterances,360,0.965541,0.962364,0.965541,0,2.061000,0.681761
MLU_Words,MLU50_Morphemes,360,0.965182,0.962800,0.965182,0,2.061000,0.671639
MLU_Morphemes,MLU50_Words,360,0.961213,0.959131,0.961213,0,1.667000,0.571103
words/turns,utterances/turns,360,0.952573,0.954502,0.952573,0,285.250000,64.523461
FREQ_types,#words,360,0.896602,0.892364,0.896602,0,1372.000000,448.088889
FREQ_types,FREQ_tokens,360,0.892826,0.890471,0.892826,0,1451.000000,464.680556
FREQ_types,mor_Words,360,0.892826,0.890471,0.892826,0,1451.000000,464.680556
FREQ_types,TD_Words,360,0.878957,0.867450,0.878957,0,1575.000000,494.908333
MLU_Utts,FREQ_tokens,360,0.866420,0.843377,0.866420,0,1539.000000,525.733333
MLU_Utts,mor_Words,360,0.866420,0.843377,0.866420,0,1539.000000,525.733333
MLU_Utts,TD_Words,360,0.864026,0.841845,0.864026,0,1706.000000,555.961111
TD_Words,TD_Time_(secs),360,0.861578,0.872324,0.861578,0,1287.000000,372.330556
Total_Utts,FREQ_tokens,360,0.859183,0.835047,0.859183,0,1539.000000,525.261111
Total_Utts,mor_Words,360,0.859183,0.835047,0.859183,0,1539.000000,525.261111
Total_Utts,TD_Words,360,0.857746,0.834999,0.857746,0,1706.000000,555.488889
MLU_Utts,#words,360,0.857713,0.834941,0.857713,0,1503.000000,509.141667
FREQ_tokens,#utterances,360,0.856093,0.833363,0.856093,0,1539.000000,525.086111
mor_Words,#utterances,360,0.856093,0.833363,0.856093,0,1539.000000,525.086111
FREQ_tokens,TD_Utts,360,0.855992,0.833115,0.855992,0,1539.000000,525.080556
TD_Utts,mor_Words,360,0.855992,0.833115,0.855992,0,1539.000000,525.080556
TD_Words,#utterances,360,0.854656,0.833334,0.854656,0,1706.000000,555.313889
TD_Words,TD_Utts,360,0.854505,0.833138,0.854505,0,1706.000000,555.308333
TD_Time_(secs),#words,360,0.851720,0.862797,0.851720,0,1084.000000,325.511111
Total_Utts,#words,360,0.850361,0.826424,0.850361,0,1503.000000,508.669444
FREQ_tokens,TD_Time_(secs),360,0.849244,0.859680,0.849244,0,1120.000000,342.102778
TD_Time_(secs),mor_Words,360,0.849244,0.859680,0.849244,0,1120.000000,342.102778
#utterances,#words,360,0.847219,0.824566,0.847219,0,1503.000000,508.494444
TD_Utts,#words,360,0.847103,0.824302,0.847103,0,1503.000000,508.488889
Verbs_Utt,words/utterances,360,0.843932,0.855151,0.843932,0,8.574000,5.420361
MLU_Words,Verbs_Utt,360,0.843786,0.854572,0.843786,0,8.574000,5.431417
MLU_Morphemes,Verbs_Utt,360,0.839630,0.855584,0.839630,0,9.649000,6.022725
MLU50_Words,Verbs_Utt,360,0.829506,0.837442,0.829506,0,8.803000,5.476378
MLU50_Morphemes,Verbs_Utt,360,0.824982,0.835462,0.824982,0,9.823000,6.089322
irr-PAST,*-PAST,352,0.814748,0.824015,0.814748,0,107.000000,30.508523
DSS_tbl_MV,DSS_tbl_TOT,360,0.807913,0.739465,0.807913,0,667.000000,339.111111
DSS_tbl_score,DSS_tbl_CNJ,360,0.801455,0.791646,0.801455,0,336.960000,108.347028
DSS_tbl_CNJ,DSS_tbl_TOT,360,0.794189,0.791626,0.794189,0,587.000000,344.225000
IPSyn_Total,DSS_tbl_MV,351,0.788133,0.759003,0.788133,0,143.000000,65.752137
MLU_Words,Standard deviation,360,0.783364,0.765917,0.783364,0,6.234000,3.678975
words/utterances,Standard deviation,360,0.781895,0.763422,0.781895,0,6.234000,3.667919
DSS,DSS_tbl_CNJ,341,0.781724,0.774871,0.781724,0,336.960000,111.292903
Verbs_Utt,DSS_tbl_TOT,360,0.779575,0.718926,0.779575,0,850.128000,460.651711
MLU_Morphemes,Standard deviation,360,0.774738,0.751262,0.774738,0,7.144000,4.270283
FREQ_types,TD_Time_(secs),360,0.769450,0.749281,0.769450,0,553.000000,126.461111
MLU50_Words,Standard deviation,360,0.768370,0.748214,0.768370,0,6.356000,3.723936
Verbs_Utt,DSS_tbl_MV,360,0.764117,0.674694,0.764117,0,213.137000,121.540600
MLU50_Morphemes,Standard deviation,360,0.761708,0.734652,0.761708,0,7.296000,4.336881
DSS_tbl_score,DSS_tbl_MV,360,0.753316,0.733616,0.753316,0,198.440000,113.432917
MLU50_Words,DSS_tbl_TOT,360,0.744352,0.726017,0.744352,0,842.220000,455.175333
irr-PAST,u-cop,352,0.744339,0.718294,0.744339,0,136.000000,33.326705
MLU_Utts,TD_Time_(secs),360,0.742652,0.727880,0.742652,0,542.000000,186.847222
MLU_Utts,FREQ_types,360,0.742430,0.728902,0.742430,0,138.000000,61.525000
Total_Utts,TD_Time_(secs),360,0.737151,0.721787,0.737151,0,541.000000,186.486111
TD_Time_(secs),#utterances,360,0.734381,0.719712,0.734381,0,541.000000,186.350000
TD_Utts,TD_Time_(secs),360,0.734210,0.719886,0.734210,0,541.000000,186.344444
MLU50_Morphemes,DSS_tbl_TOT,360,0.734038,0.715102,0.734038,0,841.000000,454.562389
Total_Utts,FREQ_types,360,0.733838,0.718436,0.733838,0,138.000000,61.119444
DSS,DSS_tbl_MV,341,0.733303,0.706790,0.733303,0,198.440000,116.398358
FREQ_types,#utterances,360,0.731266,0.716653,0.731266,0,138.000000,60.966667
FREQ_types,TD_Utts,360,0.731045,0.716045,0.731045,0,138.000000,60.961111
MLU50_Words,DSS_tbl_score,360,0.727276,0.720904,0.727276,0,7.260000,2.665528
IPSyn_Total,DSS_tbl_TOT,351,0.725328,0.693329,0.725328,0,786.000000,407.920228
MLU_Words,DSS_tbl_TOT,360,0.722734,0.708449,0.722734,0,842.837000,455.220294
words/utterances,DSS_tbl_TOT,360,0.721053,0.705879,0.721053,0,842.837000,455.231350
MLU50_Morphemes,DSS_tbl_score,360,0.718967,0.709808,0.718967,0,6.260000,2.105028
Verbs_Utt,DSS_tbl_score,360,0.710987,0.713411,0.710987,0,15.168000,8.107683
MLU_Morphemes,DSS_tbl_TOT,360,0.710201,0.694334,0.710201,0,841.733000,454.628986
MLU50_Words,DSS_tbl_CNJ,360,0.704311,0.696009,0.704311,0,344.220000,110.955889
Verbs_Utt,DSS,341,0.703806,0.683854,0.703806,0,15.168000,8.219114
det:art,#words,360,0.703640,0.704883,0.703640,0,1567.000000,521.500000
MLU_Words,DSS_tbl_score,360,0.700140,0.703608,0.700140,0,7.877000,2.707072
IPSyn_Total,DSS_tbl_score,351,0.700072,0.692367,0.700072,0,63.160000,49.109459
FREQ_tokens,det:art,360,0.699197,0.701097,0.699197,0,1603.000000,538.091667
mor_Words,det:art,360,0.699197,0.701097,0.699197,0,1603.000000,538.091667
words/utterances,DSS_tbl_score,360,0.698534,0.701063,0.698534,0,7.877000,2.718056
Standard deviation,DSS_tbl_score,360,0.697972,0.678268,0.697972,0,13.146000,6.355242
Standard deviation,DSS_tbl_TOT,360,0.696875,0.683252,0.696875,0,848.106000,458.899269
MLU50_Morphemes,DSS_tbl_CNJ,360,0.694951,0.684445,0.694951,0,343.000000,110.346611
*-3S,irr-3S,360,0.693780,0.688892,0.693780,0,60.000000,7.958333
*-PRESP,c-aux,360,0.691358,0.513471,0.691358,0,57.000000,13.622222
MLU50_Words,DSS,341,0.690970,0.691665,0.690970,0,7.260000,2.682053
MLU_Morphemes,DSS_tbl_score,360,0.689724,0.689304,0.689724,0,6.773000,2.173847
TD_Words,det:art,360,0.686662,0.690067,0.686662,0,1770.000000,568.319444
MLU_Words,DSS_tbl_CNJ,360,0.685580,0.680188,0.685580,0,344.837000,110.999922
FREQ_types,Standard deviation,360,0.685555,0.684951,0.685555,0,307.498000,147.315936
words/utterances,DSS_tbl_CNJ,360,0.684615,0.678355,0.684615,0,344.837000,111.010278
TD_Time_(secs),det:art,360,0.683635,0.652364,0.683635,0,573.000000,195.988889
MLU50_Morphemes,DSS,341,0.683421,0.680792,0.683421,0,6.260000,2.118651
MLU_Words,TD_Utts_Time,352,-0.682110,-0.647689,0.682110,0,9.943000,6.346247
TD_Utts_Time,words/utterances,352,-0.681316,-0.645507,0.681316,0,9.943000,6.336009
*-PRESP,u-aux,360,0.672816,0.635990,0.672816,0,55.000000,8.405556
DSS_Utts,Total_non_zero_mors,360,0.672814,0.329080,0.672814,0,41.000000,36.675000
MLU_Morphemes,DSS_tbl_CNJ,360,0.670584,0.663916,0.670584,0,343.733000,110.412236
DSS,Standard deviation,341,0.669101,0.653986,0.669101,0,13.146000,6.445947
DSS,IPSyn_Total,341,0.666867,0.671770,0.666867,0,63.160000,49.556716
MLU_Morphemes,TD_Utts_Time,352,-0.666650,-0.639181,0.666650,0,11.006000,6.940420
Verbs_Utt,Standard deviation,360,0.662267,0.666585,0.662267,0,3.639000,1.752442
MLU_Words,DSS,341,0.658651,0.672555,0.658651,0,7.877000,2.728387
FREQ_types,VOCD_D_optimum_average,360,0.657357,0.664411,0.657357,0,252.370000,117.913833
Verbs_Utt,IPSyn_Total,351,0.656618,0.605530,0.656618,0,76.386000,57.257242
DSS,words/utterances,341,0.656594,0.669690,0.656594,0,7.877000,2.738648
Standard deviation,DSS_tbl_MV,360,0.651089,0.628033,0.651089,0,209.498000,119.788158
MLU50_Words,DSS_tbl_MV,360,0.649270,0.608781,0.649270,0,205.020000,116.064222
DSS_tbl_warning_50,DSS_tbl_S,360,-0.648738,-0.319167,0.648738,0,50.000000,46.805556
MLU_Morphemes,DSS,341,0.648538,0.658101,0.648538,0,6.773000,2.190874
MLU50_Words,IPSyn_Total,351,0.646965,0.607496,0.646965,0,67.860000,51.739430
TD_Words,retracing,360,0.645382,0.641249,0.645382,0,1860.000000,631.177778
NDW_100,VOCD_D_optimum_average,360,0.644245,0.650259,0.644245,0,33.270000,17.714278
MLU50_Words,TD_Utts_Time,352,-0.643322,-0.619813,0.643322,0,10.172000,6.394577
FREQ_types,DSS_tbl_TOT,360,0.641681,0.636281,0.641681,0,667.000000,311.722222
#words,Standard deviation,360,0.638842,0.673116,0.638842,0,1679.498000,595.404825
TD_Time_(secs),retracing,360,0.632810,0.612186,0.632810,0,644.000000,259.291667
IPSyn_Total,Standard deviation,351,0.632621,0.618270,0.632621,0,73.494000,55.498519
MLU50_Morphemes,TD_Utts_Time,352,-0.632481,-0.617552,0.632481,0,11.192000,7.010997
words/utterances,DSS_tbl_MV,360,0.631871,0.594619,0.631871,0,205.742000,116.120239
MLU_Words,DSS_tbl_MV,360,0.631105,0.595183,0.631105,0,205.742000,116.109183
det:art,words/utterances,360,0.626178,0.620494,0.626178,0,172.756000,70.445739
MLU_Morphemes,det:art,360,0.625380,0.623384,0.625380,0,172.087000,69.866603
*-PAST,DSS_tbl_MV,360,0.625169,0.609449,0.625169,0,179.000000,110.430556
MLU_Words,det:art,360,0.625123,0.619691,0.625123,0,172.756000,70.436772
MLU50_Morphemes,det:art,360,0.624445,0.630047,0.624445,0,171.640000,69.795167
FREQ_tokens,Standard deviation,360,0.623439,0.658660,0.623439,0,1715.498000,611.996492
mor_Words,Standard deviation,360,0.623439,0.658660,0.623439,0,1715.498000,611.996492
MLU50_Morphemes,DSS_tbl_MV,360,0.622604,0.584446,0.622604,0,203.860000,115.451278
MLU50_Words,det:art,360,0.622513,0.624328,0.622513,0,172.300000,70.387222
Verbs_Utt,DSS_tbl_S,360,0.622313,0.446046,0.622313,0,49.116000,45.629489
DSS_tbl_PP,DSS_tbl_TOT,360,0.622014,0.562138,0.622014,0,735.000000,385.366667
c-cop,c-aux,360,0.620991,0.689612,0.620991,0,29.000000,3.888889
