Sentence	MOR_Tier	Error_Flag
I don't know .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .	No_Error_Present
&-um (.) when I xxx outside .	adv|when pron|I-Prs-Nom-S1 adv|outside .	No_Error_Present
now I make talk ?	adv|now pron|I-Prs-Nom-S1 verb|make-Fin-Ind-Pres-S1 noun|talk-Acc ?	No_Error_Present
I don't wanna .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|wanna-Inf-S .	No_Error_Present
now I make kitty_cat .	adv|now pron|I-Prs-Nom-S1 verb|make-Fin-Ind-Pres-S1 propn|kittycat-Acc .	No_Error_Present
now I make my Mommie .	adv|now pron|I-Prs-Nom-S1 verb|make-Fin-Ind-Pres-S1 pron|my-Prs-Gen-S1 propn|Mommie-Acc .	No_Error_Present
I don't know .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .	No_Error_Present
xxx me water now .	pron|I-Prs-Acc-S1 noun|water-Acc adv|now .	No_Error_Present
I xxx up .	pron|I-Prs-Nom-S1 adv|up .	No_Error_Present
I no want do no more .	pron|I-Prs-Nom-S1 intj|no verb|want-Fin-Ind-Pres-S1 verb|do-Inf-S adv|no adj|more-Cmp-S1 .	No_Error_Present
I no want do no more .	pron|I-Prs-Nom-S1 intj|no verb|want-Fin-Ind-Pres-S1 verb|do-Inf-S adv|no adj|more-Cmp-S1 .	No_Error_Present
I got one too .	pron|I-Prs-Nom-S1 verb|get-Fin-Ind-Past-S1-irr num|one adv|too .	No_Error_Present
I got tv too .	pron|I-Prs-Nom-S1 verb|get-Fin-Ind-Past-S1-irr noun|TV-Acc adv|too .	No_Error_Present
where Papa_Smurf lives .	adv|where propn|PapaSmurf verb|live-Fin-Ind-Pres-S3 .	No_Error_Present
I got so much babies .	pron|I-Prs-Nom-S1 verb|get-Fin-Ind-Past-S1-irr adv|so adj|much-S1 noun|baby-Plur-Acc .	No_Error_Present
I got so much babies .	pron|I-Prs-Nom-S1 verb|get-Fin-Ind-Past-S1-irr adv|so adj|much-S1 noun|baby-Plur-Acc .	No_Error_Present
I don't know .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .	No_Error_Present
I don't know .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .	No_Error_Present
why you spill ?	adv|why pron|you-Prs-Nom-S2 verb|spill-Fin-Ind-Pres-S2 ?	No_Error_Present
no I don't !	intj|no pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not !	No_Error_Present
I got earrings too .	pron|I-Prs-Nom-S1 verb|get-Fin-Ind-Past-S1-irr noun|earring-Plur-Acc adv|too .	No_Error_Present
I took one right there and put xxx .	pron|I-Prs-Nom-S1 verb|take-Fin-Ind-Past-S1-irr num|one adv|right adv|there cconj|and verb|put-Fin-Ind-Past-S1-irr .	No_Error_Present
so much thing .	adv|so adj|much-S1 noun|thing-Ger .	No_Error_Present
they are same them .	pron|they-Prs-Nom-P3 aux|be-Fin-Ind-Pres-P3 adj|same-S1 pron|they-Prs-Acc-P3 .	No_Error_Present
here some make a for the house .	adv|here det|some-Def-Ind verb|make-Fin-Ind-Pres-P3 det|a-Ind-Art adp|for det|the-Def-Art noun|house .	No_Error_Present
no mine i(s) .	det|no-Def-Neg pron|my-Prs-S1 aux|be-Fin-Ind-Pres-S3 .	No_Error_Present
yeah , ave [: I've] done it .	intj|yeah cm|cm pron|I-Prs-Nom-S1~aux|have-Fin-Ind-Pres-S1 verb|do-Part-Past-S-irr pron|it-Prs-Acc-S3 .	No_Error_Present
(h)ow to make a tent .	adv|how part|to verb|make-Inf-S det|a-Ind-Art noun|tent-Acc .	No_Error_Present
yeah it is .	intj|yeah pron|it-Prs-Nom-S3 aux|be-Fin-Ind-Pres-S3 .	No_Error_Present
that [?] there [?] .	pron|that-Dem adv|there .	No_Error_Present
zzz they're out .	noun|zzz pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 adv|out .	No_Error_Present
zzz can it shut .	noun|zzz-Acc aux|can-Fin-S pron|it-Prs-Nom-S3 verb|shut-Inf-S .	No_Error_Present
zzz again .	noun|zzz adv|again .	No_Error_Present
zzz again .	noun|zzz adv|again .	No_Error_Present
this on there .	pron|this-Dem-S1 adp|on adv|there .	No_Error_Present
it's [?] a space .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|space .	No_Error_Present
what's this ?	pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|this-Dem-S1 ?	No_Error_Present
that's Michael .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 propn|Michael .	No_Error_Present
it's [?] a back [?] up .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|back adp|up .	No_Error_Present
I [?] wanna wee .	pron|I-Prs-Nom-S1 aux|wanna-Fin-Ind-Pres-S1 intj|wee .	No_Error_Present
want that there .	verb|want-Fin-Ind-Pres-S2 pron|that-Dem adv|there .	No_Error_Present
don't catch me .	aux|do-Fin-Imp-S~part|not verb|catch-Fin-Imp-S pron|I-Prs-Acc-S1 .	No_Error_Present
he's stolen my bike .	pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|steal-Part-Past-S-irr pron|my-Prs-Gen-S1 noun|bike-Acc .	No_Error_Present
no they're up there .	intj|no pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 adv|up adv|there .	No_Error_Present
cold <is it> [?] .	adj|cold-S1 aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 .	No_Error_Present
where the bed ?	adv|where det|the-Def-Art noun|bed ?	No_Error_Present
&-uh it's the baby .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art noun|baby .	No_Error_Present
shall we catch the ball ?	aux|shall-Fin-S pron|we-Prs-Nom-P1 verb|catch-Inf-S det|the-Def-Art noun|ball-Acc ?	No_Error_Present
shall we get this off ?	aux|shall-Fin-S pron|we-Prs-Nom-P1 verb|get-Inf-S pron|this-Dem-S1 adp|off ?	No_Error_Present
I'll sit on the floor .	pron|I-Prs-Nom-S1~aux|will-Fin-S verb|sit-Inf-S adp|on det|the-Def-Art noun|floor .	No_Error_Present
don't come in me house .	aux|do-Fin-Imp-S~part|not verb|come-Fin-Imp-S adp|in pron|I-Prs-Acc-S1 noun|house .	No_Error_Present
don't come in me house .	aux|do-Fin-Imp-S~part|not verb|come-Fin-Imp-S adp|in pron|I-Prs-Acc-S1 noun|house .	No_Error_Present
where's it ?	adv|where~aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 ?	No_Error_Present
and (.) it crashed over there .	cconj|and pron|it-Prs-Nom-S3 verb|crash-Fin-Ind-Past-S3 adp|over adv|there .	No_Error_Present
(.) move them away .	verb|move-Fin-Imp-S pron|they-Prs-Acc-P3 adv|away .	No_Error_Present
here you are .	adv|here pron|you-Prs-Nom-S2 aux|be-Fin-Ind-Pres-S2 .	No_Error_Present
here you are .	adv|here pron|you-Prs-Nom-S2 aux|be-Fin-Ind-Pres-S2 .	No_Error_Present
mine next .	pron|my-Prs-S1 adv|next .	No_Error_Present
that down .	pron|that-Dem adv|down .	No_Error_Present
all fall down .	det|all-Def-Tot noun|fall adv|down .	No_Error_Present
there , that [>] .	adv|there cm|cm pron|that-Dem .	No_Error_Present
it is a field .	pron|it-Prs-Nom-S3 aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|field .	No_Error_Present
keep it (.) &-er there .	verb|keep-Fin-Imp-S pron|it-Prs-Acc-S3 adv|there .	No_Error_Present
I'm getting them up .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 verb|get-Part-Pres-S pron|they-Prs-Acc-P3 adp|up .	No_Error_Present
keeping it round [?] here .	verb|keep-Part-Pres-S pron|it-Prs-Acc-S3 adv|round adv|here .	No_Error_Present
they won't fit in there !	pron|they-Prs-Nom-P3 aux|will-Fin-S~part|not verb|fit-Inf-S adp|in adv|there !	No_Error_Present
yeah make it right bigger right there .	intj|yeah verb|make-Fin-Imp-S pron|it-Prs-Acc-S3 adv|right adj|big-Cmp-S1 adv|right adv|there .	No_Error_Present
got [?] these [?] down there !	verb|get-Fin-Ind-Past-S1-irr pron|this-Dem-P1 adp|down adv|there !	No_Error_Present
