index,transcript_id,child_id,pair_id,replicate_id,transcript_path,utterance_count,token_count,perplexity_mean_across_folds,perplexity_median_across_folds,perplexity_std_across_folds,perplexity_min_across_folds,perplexity_max_across_folds
0,pair_sli413_td439_rep01_TD_bundle,439,pair_sli413_td439,1,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep01_TD_bundle.cha,64,440,462.3483681391405,459.7386552636849,13.229318539364867,449.0424871794431,481.33226089794266
1,pair_sli413_td439_rep02_TD_bundle,439,pair_sli413_td439,2,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep02_TD_bundle.cha,75,440,443.07726106778057,439.9982936134385,10.441116583342305,431.27795653360994,454.7921531048924
2,pair_sli413_td439_rep03_TD_bundle,439,pair_sli413_td439,3,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep03_TD_bundle.cha,61,397,382.25591588941126,380.90692962048365,9.70625265521691,373.031413429592,398.28142868091004
3,pair_sli413_td439_rep04_TD_bundle,439,pair_sli413_td439,4,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep04_TD_bundle.cha,69,405,414.3127522032002,411.7085405202995,18.190917999669605,398.07619049311415,442.1903193531171
4,pair_sli413_td439_rep05_TD_bundle,439,pair_sli413_td439,5,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep05_TD_bundle.cha,76,441,470.27869240867733,473.66197976826203,12.733891636286481,454.88781312073957,487.6331997288391
5,pair_sli413_td439_rep06_TD_bundle,439,pair_sli413_td439,6,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep06_TD_bundle.cha,69,466,509.18582973487844,511.00071602277495,7.564443927015874,498.78392547378604,518.7517832369974
6,pair_sli413_td439_rep07_TD_bundle,439,pair_sli413_td439,7,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep07_TD_bundle.cha,74,465,420.4796213686166,417.15337586934686,12.408087598207015,407.43916074475584,437.6893505881904
7,pair_sli413_td439_rep08_TD_bundle,439,pair_sli413_td439,8,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep08_TD_bundle.cha,76,432,442.59541327648657,443.08105975030566,9.494922710455311,432.7303132132159,453.9503451198932
8,pair_sli413_td439_rep09_TD_bundle,439,pair_sli413_td439,9,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep09_TD_bundle.cha,75,468,515.6688141332759,507.04491725740394,19.403751365073777,497.4913684534914,545.9533463028624
9,pair_sli413_td439_rep10_TD_bundle,439,pair_sli413_td439,10,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep10_TD_bundle.cha,85,466,444.9165381027427,449.94635003903596,17.468631011683467,420.2668385092006,462.25928287862007
