condition,sample_id,temperature,output_story
Few-Shot (6 Examples),1,0.7,"He's a rabbit and a dog. And they (i)s playing in the sand. They (i)s got shovels. And they (i)s want to build a big. Big sand. Castle. Together. They (i)s having fun. Fun.

And the dog is, um pat pat pat. The sand. To make the wall. Strong. Strong. The rabbit is, digging. Digging. He's got a bucket. And he's getting more sand. More sand.

They (i)s work very hard. Hard. Then um then. The rabbit make a mistake. He (i)s lift up his bucket. And he (i)s dump all the sand. Right on top. Of the castle. Castle. Smash. Smash. And it (i)s fall down flat.

The dog is, very upset. Upset. She (i)s cry. Cry. Because her hard work. Ruin. The rabbit feel bad. Bad. He (i)s didn't mean to break it. Break it.

He (i)s want to make it right. Right. So the rabbit start pat pat pat. The sand. Back together. Back. He (i)s try to fix the castle. Fix. So the dog will be happy. Happy.

They (i)s decide to build a new one. New one. The end."
Few-Shot (6 Examples),2,0.7,"He's in the s... sand box. And they, he and... the dog. Is have shovel. Is want build a big... sand cast. They having... a lot of fun.

The dog is p... pat, pat the sand. Make the wall... strong. The rabbit is digging. He's get... more sand. They work very... hard on it.

And, and then... the rabbit. He made a... mistake. He lift... his bucket. And... all the sand. On top of... castle. It smash. And... fall down flat.

The dog is very... upset. She is cry. Cry because... her work is ruin. The rabbit feel bad. He no mean to... break it. He want make... right.

So, the rabbit is pat, pat... the sand. He try fix... castle. dog be [* m:unv:a] happy. They decide build... new one. The end."
Few-Shot (6 Examples),3,0.7,"One day, rabbit and dog. They is playing in the sand box. They had a shovel. They want to build a big sand_castle. They is having a lot of fun.

The dog is pat... pat the sand. To make the wall strong. The rabbit is digging. With his bucket. To get more sand. They is work very hard on it.

Umm, the rabbit, uh... made a mistake. He lift the big bucket. And dump all the sand. On top of the castle. Oh no. It is smash. It is fall down flat.

The dog is very upset. She is cry. Because her work is ruin. The rabbit feel bad. Because he didn't mean to break it. He want to make thing right.

So, the rabbit is pat... pat the sand. Back together. He try to fix the castle. So the dog is happy again. They decide to build a new one. The end."
Few-Shot (6 Examples),4,0.7,"One day, a rabbid and a dog, uh, playing in the... sandbox. They had shovels, shovels. They wanna build, big sandcastle. They (i)s having fun.

The dog was, um, pat the sand. Pat, pat. Make the wall strong. The rabbid was, dig, dig. Get more sand. They, they work very hard on it.

Uh, s'suddenly the rabbid, he made a... a mistake. He lift the bucket. And... and dump all the sand. On top of the castle. Oh no. Castle smash. Castle fall down flat.

The dog, she was very upset. She start cry. Cry, cry. Because her, hard work. Ruined. Rabbid, he feel bad. He didn't mean to break it. He wanna make... things right.

So, the rabbid, he start pat the sand. Pat, pat. Fix the castle. Dog happy again. They, they decide build a new one. New one."
Few-Shot (6 Examples),5,0.7,"He's pwaying in the sand. He's pwaying in the sand. He's got a shovel. He's got a shovel. He's um... building a big. Big sand. Castle. Castle. They (i)s having a lot of fun. Fun.

And he (i)s patting the sand. Patting the sand. And he's digging. Digging. He's got a bucket. And he's... digging. Digging. They (i)s working very hard. Hard.

Uh, then uh, the rabbit. He made a. A mistake. He lift (i)s his bucket. He dump (i)s all the sand. All the sand. On top of the castle. Castle. It (i)s smash. Smash. It (i)s fall down. Down.

And she (i)s very upset. She (i)s crying. She (i)s crying. Her work. Her hard work. Ruin (i)s. Ruin. And he (i)s feel bad. Feel bad. He didn't mean to. Break it. Break.

He (i)s patting the sand. Patting the sand. He (i)s fix. Fix. He (i)s try to. Fix it. Fix it. So she (i)s happy. Happy. Again. Again. They (i)s build. Build. A new one. New one. The end."
Few-Shot (6 Examples),6,0.7,"He's a rabbit. And a dog. They (i)s playing. In the sand box. They (i)s have shovel. And they want build a big sand_castle. They (i)s have fun.

And he the dog is pating the sand. Make the wall strong. The rabbit is digging. Get more sand. They (i)s work very hard.

And uh, the rabbit make a mistake. He (i)s lift his bucket. And uh, dump all the sand. On top of the castle. Smash and fell down flat.

The dog is very upset. She (i)s cry. Because her hard work. Ruin. The rabbit feel bad. He (i)s didn't mean to break it. He (i)s want make thing right.

So the rabbit start pating the sand. Fix the castle. He (i)s want the dog happy. They (i)s decide build a new one. The end."
Few-Shot (6 Examples),7,0.7,"Um, was a, a, a rabbit and, uh, a dog. They pway in the... sand box. They have, uh shovel. They wnt to build... big sand castel. They was having fun.

Uh, the dog was, was pat the sand. Make the wals stong. The rabbit was, was dig with his, uh bucket. Get more sand. They was, was work very hard on it.

Suddently, the rabbit, uh, make a mistake. He lift his, uh heavy bucket. Dump all the sand... on top of the castel. It was, uh an acident. But the castel... smash and fell down flat.

The dog was, was very up set. She stard to cry. Her hard work was, was ruin. The rabbit feel bad. He didn't mean to, uh break it. He wnt to make thing right.

So, the rabbit start pat the sand... back together. He try to fix the castel. So the dog will be happy again. They decid to build a new one. The end."
Few-Shot (6 Examples),8,0.7,"He's playing in the sand. He's playing with the dog. They have shovels. They wanna build a big one. They're having fun.

The dog is pat [* m:0ing]it, pat it. Make the walls strong. The rabbit is dig dig dig. Get more sand. They work very hard.

Uh, uh. The rabbit made a mistake. He lift the bucket. And, all the sand... (giggle) on top of the castle. Smash. Flat. Oh no.

The dog is cry cry cry. She's very upset. Her work is ruined. The rabbit is bad. He didn't mean it. He wanna make it right.

So, the rabbit pat pat pat. Fix the castle. The dog be [* m:unv:a] happy again. They wanna build a new one. New one. The end."
Few-Shot (6 Examples),9,0.7,"Uh, rabbit and dog. Is play in the sand. They has shovel. They want to make big sandcastle. They is having... fun.

Dog is pat, pat, pat. Make wall strong. Rabbit is dig, dig, dig. Get more sand. They is work hard.

Then uh, rabbit make mistake. He lift heavy bucket. And... (giggle) all sand on top. Castle smash. Fall down flat.

Dog is very... sad. Cry because... castle no good. Rabbit feel bad. He no mean to break it. He want to make right.

So, rabbit is pat, pat, pat. Fix castle. Dog will be happy. They is build new one. They is happy again. The end."
Few-Shot (6 Examples),10,0.7,"Um, one day, rabbit and dog, play in the, sandbox. They have shovel. And they, want to build big sandcastle. They having fun. Yeah.

Dog, is carefully pat the sand. Make wall strong. Rabbit, is dig with bucket. Get more sand. They work, very hard.

Uh, suddenly, rabbit make, mistake. He lift heavy bucket. Dump all sand on top castle. Smash and fall down flat. Oh.

Dog, is very upset. She cry, because hard work, ruined. Rabbit, feel bad. He didn't mean, break it. He want make, things right.

So, rabbit start pat, sand back together. Try fix castle. Dog happy again. They decide, build new one. The end."
