transcript_id,child_id,pair_id,replicate_id,source_child_id,transcript_path,token_count,utterance_count,nearest_real_child_id,nearest_real_path,nearest_real_cosine_similarity,mean_cosine_similarity_to_real,cosine_similarity_to_real_centroid
pair_sli413_td439_rep01_TD_bundle,439,pair_sli413_td439,1,439,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep01_TD_bundle.cha,440,64,416,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/B/416.cha,0.867435097694397,0.7663968643721413,0.8660162091255188
pair_sli413_td439_rep02_TD_bundle,439,pair_sli413_td439,2,439,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep02_TD_bundle.cha,440,75,414,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/A/414.cha,0.8380134105682373,0.763920850613538,0.863218367099762
pair_sli413_td439_rep03_TD_bundle,439,pair_sli413_td439,3,439,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep03_TD_bundle.cha,397,61,416,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/B/416.cha,0.8685300946235657,0.7636164882603813,0.8628742694854736
pair_sli413_td439_rep04_TD_bundle,439,pair_sli413_td439,4,439,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep04_TD_bundle.cha,405,69,414,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/A/414.cha,0.8561572432518005,0.7733965901767507,0.8739258646965027
pair_sli413_td439_rep05_TD_bundle,439,pair_sli413_td439,5,439,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep05_TD_bundle.cha,441,76,416,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/B/416.cha,0.8537763953208923,0.761458496837055,0.8604359030723572
pair_sli413_td439_rep06_TD_bundle,439,pair_sli413_td439,6,439,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep06_TD_bundle.cha,466,69,416,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/B/416.cha,0.8632456660270691,0.7736194379189435,0.8741775751113892
pair_sli413_td439_rep07_TD_bundle,439,pair_sli413_td439,7,439,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep07_TD_bundle.cha,465,74,416,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/B/416.cha,0.8636846542358398,0.772646896979388,0.8730785250663757
pair_sli413_td439_rep08_TD_bundle,439,pair_sli413_td439,8,439,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep08_TD_bundle.cha,432,76,414,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/A/414.cha,0.8437362909317017,0.76928950232618,0.8692847490310669
pair_sli413_td439_rep09_TD_bundle,439,pair_sli413_td439,9,439,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep09_TD_bundle.cha,468,75,463,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/B/463.cha,0.8714635372161865,0.7833785712718964,0.8852053880691528
pair_sli413_td439_rep10_TD_bundle,439,pair_sli413_td439,10,439,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep10_TD_bundle.cha,466,85,414,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/A/414.cha,0.8425282835960388,0.7750077282681185,0.8757461905479431
