transcript_id,child_id,transcript_path,token_count,utterance_count,nearest_real_child_id,nearest_real_path,nearest_real_cosine_similarity,mean_cosine_similarity_to_real,cosine_similarity_to_real_centroid
401,401,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/A/401.cha,962,139,403,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/B/403.cha,0.8926408886909485,0.7788491736758839,0.8874368071556091
402,402,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/A/402.cha,557,107,457,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/A/457.cha,0.8529734015464783,0.7617465673070966,0.8686796426773071
403,403,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/B/403.cha,484,73,463,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/B/463.cha,0.9059328436851501,0.8164668083190918,0.9286941289901733
404,404,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/B/404.cha,356,84,414,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/A/414.cha,0.7782160639762878,0.7026137565121506,0.803825855255127
405,405,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/A/405.cha,614,97,414,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/A/414.cha,0.8795404434204102,0.8019523277427211,0.9127753376960754
407,407,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/B/407.cha,385,63,405,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/A/405.cha,0.8686571717262268,0.7784438169363773,0.8869924545288086
408,408,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/B/408.cha,524,78,414,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/A/414.cha,0.8895769119262695,0.824037846290704,0.936997652053833
409,409,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/A/409.cha,455,68,418,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/A/418.cha,0.9029227495193481,0.8147926186070298,0.9268578886985779
411,411,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/B/411.cha,845,107,463,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/B/463.cha,0.85926753282547,0.787527879079183,0.8969553112983704
412,412,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/B/412.cha,947,122,446,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/B/446.cha,0.8446281552314758,0.7599138454957441,0.8666696548461914
414,414,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/A/414.cha,482,87,408,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/B/408.cha,0.8895769119262695,0.8305188074256434,0.9441055655479431
