index,transcript_id,child_id,pair_id,replicate_id,transcript_path,utterance_count,token_count,perplexity_mean_across_folds,perplexity_median_across_folds,perplexity_std_across_folds,perplexity_min_across_folds,perplexity_max_across_folds
0,pair_sli413_td439_rep01_TD_bundle,439,pair_sli413_td439,1,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep01_TD_bundle.cha,64,440,465.2038997321639,469.295013681014,16.839365446758574,436.58252571471195,481.317926365195
1,pair_sli413_td439_rep02_TD_bundle,439,pair_sli413_td439,2,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep02_TD_bundle.cha,75,440,435.7226231490845,438.203740625866,8.034003439842902,427.04434517594,445.8618259631299
2,pair_sli413_td439_rep03_TD_bundle,439,pair_sli413_td439,3,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep03_TD_bundle.cha,61,397,382.9293825898871,380.3260613210207,14.26357899522652,364.6942861219437,403.57862645024534
3,pair_sli413_td439_rep04_TD_bundle,439,pair_sli413_td439,4,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep04_TD_bundle.cha,69,405,428.70348370750406,429.5919729495487,11.806277125321918,411.9174237255211,440.65229218243826
4,pair_sli413_td439_rep05_TD_bundle,439,pair_sli413_td439,5,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep05_TD_bundle.cha,76,441,470.2660303381841,470.39283238796656,15.93795416494013,445.3118048618099,488.4391929166004
5,pair_sli413_td439_rep06_TD_bundle,439,pair_sli413_td439,6,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep06_TD_bundle.cha,69,466,486.6220232601104,483.12198157248594,12.517493196829298,472.55756772314606,506.05185395186925
6,pair_sli413_td439_rep07_TD_bundle,439,pair_sli413_td439,7,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep07_TD_bundle.cha,74,465,422.7788532659998,418.0393027061967,17.10226479259264,399.51291663927805,440.1951783415826
7,pair_sli413_td439_rep08_TD_bundle,439,pair_sli413_td439,8,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep08_TD_bundle.cha,76,432,432.69783584957815,438.304918194609,11.593471899283422,413.4032263728451,441.66558464175506
8,pair_sli413_td439_rep09_TD_bundle,439,pair_sli413_td439,9,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep09_TD_bundle.cha,75,468,514.8481204667274,519.1814413379132,16.129615964863376,490.59463894342804,530.3069054395129
9,pair_sli413_td439_rep10_TD_bundle,439,pair_sli413_td439,10,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep10_TD_bundle.cha,85,466,429.92603389202293,440.26346242527296,18.18282771332793,401.01958733146677,443.7744800021484
10,pair_sli427_td406_rep01_TD_bundle,406,pair_sli427_td406,1,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli427_td406_rep01_TD_bundle.cha,70,387,554.4418318949986,557.9006634262265,17.861587484700035,533.2523338298508,579.819658046187
11,pair_sli427_td406_rep02_TD_bundle,406,pair_sli427_td406,2,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli427_td406_rep02_TD_bundle.cha,59,501,478.729246385945,481.274901339577,18.068515246267033,449.22942685043967,493.6077204015126
12,pair_sli427_td406_rep03_TD_bundle,406,pair_sli427_td406,3,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli427_td406_rep03_TD_bundle.cha,85,431,594.2602059688054,595.4936726513021,13.427118914892244,574.1354094173133,611.6093767524857
