File_ID,DSS_tbl_source,DSS_tbl_relpath,DSS_tbl_transcript,DSS_tbl_transcript_relpath,DSS_tbl_command,DSS_tbl_score,DSS_tbl_score_is_na,DSS_tbl_warning_50,DSS_tbl_CNJ,DSS_tbl_IP,DSS_tbl_IR,DSS_tbl_MV,DSS_tbl_NG,DSS_tbl_PP,DSS_tbl_S,DSS_tbl_SV,DSS_tbl_TOT,DSS_tbl_WHQ
pair_sli413_td439_rep01_SLI_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/generated/measures/dss/SLI/bundles/pair_sli413_td439_rep01_SLI_bundle.tbl.cex,phase2/generated/measures/dss/SLI/bundles/pair_sli413_td439_rep01_SLI_bundle.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep01_SLI_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep01_SLI_bundle.cha,dss +t*CHI +deng.cut +lengu,6.62,0,1,38,13,6,75,4,54,26,29,245,0
pair_sli413_td439_rep02_SLI_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/generated/measures/dss/SLI/bundles/pair_sli413_td439_rep02_SLI_bundle.tbl.cex,phase2/generated/measures/dss/SLI/bundles/pair_sli413_td439_rep02_SLI_bundle.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep02_SLI_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep02_SLI_bundle.cha,dss +t*CHI +deng.cut +lengu,6.18,0,0,37,30,6,103,11,71,40,11,309,0
pair_sli413_td439_rep03_SLI_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/generated/measures/dss/SLI/bundles/pair_sli413_td439_rep03_SLI_bundle.tbl.cex,phase2/generated/measures/dss/SLI/bundles/pair_sli413_td439_rep03_SLI_bundle.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep03_SLI_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep03_SLI_bundle.cha,dss +t*CHI +deng.cut +lengu,6.60,0,1,51,29,0,79,0,46,18,8,231,0
pair_sli413_td439_rep04_SLI_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/generated/measures/dss/SLI/bundles/pair_sli413_td439_rep04_SLI_bundle.tbl.cex,phase2/generated/measures/dss/SLI/bundles/pair_sli413_td439_rep04_SLI_bundle.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep04_SLI_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep04_SLI_bundle.cha,dss +t*CHI +deng.cut +lengu,6.64,0,0,46,33,6,97,12,85,36,15,332,2
pair_sli413_td439_rep05_SLI_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/generated/measures/dss/SLI/bundles/pair_sli413_td439_rep05_SLI_bundle.tbl.cex,phase2/generated/measures/dss/SLI/bundles/pair_sli413_td439_rep05_SLI_bundle.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep05_SLI_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep05_SLI_bundle.cha,dss +t*CHI +deng.cut +lengu,5.72,0,1,47,15,12,87,12,48,32,16,269,0
pair_sli413_td439_rep06_SLI_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/generated/measures/dss/SLI/bundles/pair_sli413_td439_rep06_SLI_bundle.tbl.cex,phase2/generated/measures/dss/SLI/bundles/pair_sli413_td439_rep06_SLI_bundle.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep06_SLI_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep06_SLI_bundle.cha,dss +t*CHI +deng.cut +lengu,6.28,0,1,63,24,0,96,8,62,28,8,289,0
pair_sli413_td439_rep07_SLI_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/generated/measures/dss/SLI/bundles/pair_sli413_td439_rep07_SLI_bundle.tbl.cex,phase2/generated/measures/dss/SLI/bundles/pair_sli413_td439_rep07_SLI_bundle.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep07_SLI_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep07_SLI_bundle.cha,dss +t*CHI +deng.cut +lengu,6.13,0,1,61,15,0,96,8,58,34,10,282,0
pair_sli413_td439_rep08_SLI_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/generated/measures/dss/SLI/bundles/pair_sli413_td439_rep08_SLI_bundle.tbl.cex,phase2/generated/measures/dss/SLI/bundles/pair_sli413_td439_rep08_SLI_bundle.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep08_SLI_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep08_SLI_bundle.cha,dss +t*CHI +deng.cut +lengu,7.02,0,1,39,18,6,105,8,76,34,37,323,0
pair_sli413_td439_rep09_SLI_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/generated/measures/dss/SLI/bundles/pair_sli413_td439_rep09_SLI_bundle.tbl.cex,phase2/generated/measures/dss/SLI/bundles/pair_sli413_td439_rep09_SLI_bundle.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep09_SLI_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep09_SLI_bundle.cha,dss +t*CHI +deng.cut +lengu,5.50,0,0,38,13,0,94,4,65,38,23,275,0
pair_sli413_td439_rep10_SLI_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/generated/measures/dss/SLI/bundles/pair_sli413_td439_rep10_SLI_bundle.tbl.cex,phase2/generated/measures/dss/SLI/bundles/pair_sli413_td439_rep10_SLI_bundle.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep10_SLI_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep10_SLI_bundle.cha,dss +t*CHI +deng.cut +lengu,6.44,0,0,64,30,0,99,0,99,25,5,322,0
