File,Language,Corpus,Code,Age(Month),Sex,Group,Race,SES,Role,Education,Custom_field,Design,Activity,Group_2,Total_Utts,MLU_Utts,MLU_Words,MLU_Morphemes,MLU50_Utts,MLU50_Words,MLU50_Morphemes,FREQ_types,FREQ_tokens,NDW_100,VOCD_D_optimum_average,Verbs_Utt,TD_Words,TD_Utts,TD_Time_(secs),TD_Words_Time,TD_Utts_Time,Word_Errors,Utt_Errors,retracing,repetition,DSS_Utts,DSS,mor_Words,*-PRESP,in,on,*-PL,*-POSS,u-cop,det:art,*-PAST,*-S3,irr-S3,u-aux,c-cop,c-aux,Total_non_zero_mors
stage2_sli_reannotated/pair_sli413_td439_rep01_A1_SLI.cha,eng,ICL-PILOT,CHI,59,.,SLI,.,.,Target_Child,.,.,cross,narrative,generated,16,16,1.875,1.875,16,NA,NA,23,30,NA,NA,0.312,30,16,0,NA,NA,4,0,0,0,3,NA,30,0,1,0,0,0,0,0,0,0,0,0,0,0,1
stage2_sli_reannotated/pair_sli413_td439_rep01_A2_SLI.cha,eng,ICL-PILOT,CHI,59,.,SLI,.,.,Target_Child,.,.,cross,narrative,generated,7,7,5.429,6.286,7,NA,NA,30,39,NA,NA,0.857,38,7,0,NA,NA,4,0,0,0,7,NA,39,0,0,2,0,1,1,1,5,0,0,0,0,0,5
stage2_sli_reannotated/pair_sli413_td439_rep01_A3_SLI.cha,eng,ICL-PILOT,CHI,59,.,SLI,.,.,Target_Child,.,.,cross,narrative,generated,12,12,6.167,6.333,12,NA,NA,48,75,NA,44.32,1.000,74,12,0,NA,NA,6,0,0,0,10,NA,75,1,0,0,1,0,1,10,0,2,0,1,0,0,6
stage2_sli_reannotated/pair_sli413_td439_rep01_B1_SLI.cha,eng,ICL-PILOT,CHI,59,.,SLI,.,.,Target_Child,.,.,cross,narrative,generated,9,9,3.556,3.667,9,NA,NA,22,32,NA,NA,0.667,40,12,0,NA,NA,1,0,0,0,6,NA,32,0,0,1,1,0,0,4,0,4,0,0,0,0,4
stage2_sli_reannotated/pair_sli413_td439_rep01_B2_SLI.cha,eng,ICL-PILOT,CHI,59,.,SLI,.,.,Target_Child,.,.,cross,narrative,generated,13,13,3.538,3.923,13,NA,NA,28,46,NA,NA,1.077,49,13,0,NA,NA,2,0,0,3,7,NA,46,0,0,0,1,0,0,0,4,2,0,0,0,0,3
stage2_sli_reannotated/pair_sli413_td439_rep01_B3_SLI.cha,eng,ICL-PILOT,CHI,59,.,SLI,.,.,Target_Child,.,.,cross,narrative,generated,4,4,11.500,14.000,4,NA,NA,31,46,NA,NA,2.000,86,10,0,NA,NA,0,0,0,0,4,NA,46,0,0,1,3,0,1,9,7,0,0,0,0,0,5
stage2_sli_reannotated/pair_sli413_td439_rep02_A1_SLI.cha,eng,ICL-PILOT,CHI,59,.,SLI,.,.,Target_Child,.,.,cross,narrative,generated,15,15,2.800,2.867,15,NA,NA,23,43,NA,NA,0.600,42,15,0,NA,NA,4,0,0,0,8,NA,43,0,2,0,0,0,0,0,0,0,0,1,0,0,2
stage2_sli_reannotated/pair_sli413_td439_rep02_A2_SLI.cha,eng,ICL-PILOT,CHI,59,.,SLI,.,.,Target_Child,.,.,cross,narrative,generated,12,12,5.000,6.250,12,NA,NA,42,61,NA,49.89,1.250,60,12,0,NA,NA,0,0,0,0,11,NA,61,0,0,2,1,1,0,7,13,0,1,1,0,0,7
stage2_sli_reannotated/pair_sli413_td439_rep02_A3_SLI.cha,eng,ICL-PILOT,CHI,59,.,SLI,.,.,Target_Child,.,.,cross,narrative,generated,12,12,4.500,5.500,12,NA,NA,32,54,NA,24.83,0.917,54,12,0,NA,NA,1,0,0,0,9,NA,54,2,0,0,1,0,2,8,9,0,0,0,0,0,5
stage2_sli_reannotated/pair_sli413_td439_rep02_B1_SLI.cha,eng,ICL-PILOT,CHI,59,.,SLI,.,.,Target_Child,.,.,cross,narrative,generated,11,11,5.273,5.364,11,NA,NA,37,59,NA,32.13,0.818,58,11,0,NA,NA,7,0,0,0,8,NA,59,0,1,1,0,0,0,1,0,0,0,0,1,0,4
