File,Language,Corpus,Code,Age(Month),Sex,Group,Race,SES,Role,Education,Custom_field,Design,Activity,Group_2,Total_Utts,MLU_Utts,MLU_Words,MLU_Morphemes,MLU50_Utts,MLU50_Words,MLU50_Morphemes,FREQ_types,FREQ_tokens,NDW_100,VOCD_D_optimum_average,Verbs_Utt,TD_Words,TD_Utts,TD_Time_(secs),TD_Words_Time,TD_Utts_Time,Word_Errors,Utt_Errors,retracing,repetition,DSS_Utts,DSS,mor_Words,*-PRESP,in,on,*-PL,*-POSS,u-cop,det:art,*-PAST,*-S3,irr-S3,u-aux,c-cop,c-aux,Total_non_zero_mors
stage1_td_reannotated/pair_sli413_td439_rep01_A1_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,10,10,7.100,8.300,10,NA,NA,35,71,NA,17.56,1.100,71,10,0,NA,NA,0,0,0,0,10,NA,71,1,1,0,0,0,2,17,11,0,1,0,0,0,6
stage1_td_reannotated/pair_sli413_td439_rep01_A2_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,5,5,12.600,15.000,5,NA,NA,41,64,NA,37.10,2.600,63,5,0,NA,NA,0,0,0,0,5,NA,64,0,0,2,0,1,1,11,11,0,2,1,0,0,7
stage1_td_reannotated/pair_sli413_td439_rep01_A3_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,13,13,7.692,9.154,13,NA,NA,57,102,57,37.38,1.385,100,13,0,NA,NA,0,0,0,0,12,NA,102,3,0,0,1,0,5,14,14,0,0,1,0,1,7
stage1_td_reannotated/pair_sli413_td439_rep01_B1_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,9,9,4.556,5.444,9,NA,NA,28,41,NA,NA,0.778,49,12,0,NA,NA,0,0,0,0,7,NA,41,0,0,1,0,0,1,7,8,0,0,0,0,0,4
stage1_td_reannotated/pair_sli413_td439_rep01_B2_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,11,11,5.455,6.455,11,NA,NA,40,60,NA,44.86,1.182,60,11,0,NA,NA,1,0,0,0,9,NA,60,0,0,1,2,0,1,6,9,1,1,1,0,0,8
stage1_td_reannotated/pair_sli413_td439_rep01_B3_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,7,7,7.571,9.286,7,NA,NA,37,54,NA,39.89,1.286,96,13,0,NA,NA,0,0,0,0,7,NA,54,0,0,1,4,0,1,10,8,0,0,1,0,0,6
stage1_td_reannotated/pair_sli413_td439_rep02_A1_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,14,14,5.857,6.929,14,NA,NA,38,83,NA,19.09,1.214,82,14,0,NA,NA,0,0,0,0,13,NA,83,1,3,0,0,0,2,16,13,0,1,2,0,0,7
stage1_td_reannotated/pair_sli413_td439_rep02_A2_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,13,13,4.769,5.923,13,NA,NA,42,63,NA,45.05,1.154,62,13,0,NA,NA,0,0,0,0,11,NA,63,0,0,2,1,1,0,7,13,0,1,1,0,0,7
stage1_td_reannotated/pair_sli413_td439_rep02_A3_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,15,15,4.600,5.600,15,NA,NA,39,69,NA,26.77,0.867,69,15,0,NA,NA,0,0,0,0,12,NA,69,2,0,0,2,0,3,9,11,0,0,1,0,0,6
stage1_td_reannotated/pair_sli413_td439_rep02_B1_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,9,9,8.222,9.667,9,NA,NA,45,77,NA,32.74,1.444,74,9,0,NA,NA,0,0,0,0,8,NA,77,0,0,1,0,0,2,13,11,0,0,0,2,0,5
stage1_td_reannotated/pair_sli413_td439_rep02_B2_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,9,9,6.778,7.778,9,NA,NA,43,63,NA,50.49,1.444,61,10,0,NA,NA,0,0,0,0,9,NA,63,2,0,1,2,0,0,6,3,2,1,2,2,0,9
stage1_td_reannotated/pair_sli413_td439_rep02_B3_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,12,12,6.667,8.083,12,NA,NA,53,81,NA,55.17,1.167,92,15,0,NA,NA,1,0,0,0,12,NA,81,0,0,1,2,0,3,6,14,0,0,0,1,0,6
